extension_id,loan_number,extension_sequence,extension_request_date,extension_days,extension_fee_percent,extension_fee_amount,requested_by_role,approved_by_employee_id,reason_code,lock_expiration_date_before,lock_expiration_date_after
90077,70000175,2,2023-04-22,15,0.0025,576.38,Processor,136,Underwriting Conditions,2023-04-23,2023-05-08
90078,70000176,1,2023-03-03,15,0.0025,1199.15,Broker,125,Title Issues,2023-03-06,2023-03-21
90079,70000176,2,2023-03-20,5,0.00125,599.58,Processor,135,Borrower Delay,2023-03-21,2023-03-26
90080,70000179,1,2023-04-22,5,0.00125,432.5,Loan Officer,134,Underwriting Conditions,2023-04-27,2023-05-02
90081,70000179,2,2023-04-28,15,0.0025,865.01,Loan Officer,138,Appraisal Delay,2023-05-02,2023-05-17
90082,70000179,3,2023-05-15,15,0.0025,865.01,Loan Officer,137,Borrower Delay,2023-05-17,2023-06-01
90083,70000179,4,2023-05-27,15,0.0025,865.01,Broker,129,Title Issues,2023-06-01,2023-06-16
90084,70000181,1,2023-05-17,5,0.00125,364.41,Broker,137,Appraisal Delay,2023-05-19,2023-05-24
90085,70000181,2,2023-05-21,5,0.00125,364.41,Processor,132,Appraisal Delay,2023-05-24,2023-05-29
90086,70000181,3,2023-05-28,15,0.0025,728.83,Broker,133,Underwriting Conditions,2023-05-29,2023-06-13
90087,70000186,1,2023-04-29,5,0.00125,308.19,Processor,132,Appraisal Delay,2023-05-04,2023-05-09
90088,70000186,2,2023-05-04,5,0.00125,308.19,Loan Officer,135,Borrower Delay,2023-05-09,2023-05-14
90089,70000189,1,2023-03-27,5,0.00125,388.73,Loan Officer,133,Borrower Delay,2023-03-31,2023-04-05
90090,70000189,2,2023-03-31,15,0.0025,777.47,Broker,135,Borrower Delay,2023-04-05,2023-04-20
90091,70000196,1,2023-04-30,15,0.0025,678.89,Broker,129,Title Issues,2023-05-02,2023-05-17
90092,70000200,1,2023-03-08,15,0.0025,655.53,Loan Officer,139,Underwriting Conditions,2023-03-12,2023-03-27
90093,70000200,2,2023-03-26,5,0.00125,327.76,Loan Officer,135,Underwriting Conditions,2023-03-27,2023-04-01
90094,70000206,1,2023-04-16,15,0.0025,755.53,Broker,127,Rate Shopping,2023-04-20,2023-05-05
90095,70000211,1,2023-04-17,15,0.0025,2323.59,Loan Officer,125,Rate Shopping,2023-04-22,2023-05-07
90096,70000211,2,2023-05-06,5,0.00125,1161.79,Processor,126,Title Issues,2023-05-07,2023-05-12
90097,70000214,1,2023-04-18,15,0.0025,896.3,Broker,126,Appraisal Delay,2023-04-23,2023-05-08
90098,70000220,1,2023-03-12,15,0.0025,1717.94,Loan Officer,128,Borrower Delay,2023-03-13,2023-03-28
90099,70000220,2,2023-03-27,5,0.00125,858.97,Broker,139,Underwriting Conditions,2023-03-28,2023-04-02
90100,70000224,1,2023-04-20,15,0.0025,1050.31,Broker,138,Appraisal Delay,2023-04-23,2023-05-08
90101,70000225,1,2023-03-07,5,0.00125,998.28,Processor,136,Underwriting Conditions,2023-03-11,2023-03-16
90102,70000227,1,2023-03-17,5,0.00125,485.65,Loan Officer,135,Title Issues,2023-03-19,2023-03-24
90103,70000229,1,2023-03-16,5,0.00125,498.0,Loan Officer,125,Rate Shopping,2023-03-19,2023-03-24
90104,70000233,1,2023-02-17,15,0.0025,1073.06,Broker,135,Underwriting Conditions,2023-02-18,2023-03-05
90105,70000233,2,2023-03-03,15,0.0025,1073.06,Processor,139,Borrower Delay,2023-03-05,2023-03-20
90106,70000234,1,2023-01-21,15,0.0025,1005.64,Loan Officer,128,Borrower Delay,2023-01-23,2023-02-07
90107,70000234,2,2023-02-05,15,0.0025,1005.64,Loan Officer,134,Rate Shopping,2023-02-07,2023-02-22
90108,70000234,3,2023-02-19,15,0.0025,1005.64,Processor,132,Rate Shopping,2023-02-22,2023-03-09
90109,70000234,4,2023-03-07,15,0.0025,1005.64,Broker,137,Borrower Delay,2023-03-09,2023-03-24
90110,70000237,1,2023-04-28,5,0.00125,154.32,Broker,136,Rate Shopping,2023-05-03,2023-05-08
90111,70000241,1,2023-04-20,15,0.0025,496.34,Loan Officer,138,Borrower Delay,2023-04-25,2023-05-10
90112,70000244,1,2023-02-26,15,0.0025,298.84,Processor,137,Title Issues,2023-03-03,2023-03-18
90113,70000245,1,2023-04-13,5,0.00125,952.78,Loan Officer,130,Title Issues,2023-04-15,2023-04-20
90114,70000245,2,2023-04-18,15,0.0025,1905.57,Broker,137,Title Issues,2023-04-20,2023-05-05
90115,70000249,1,2023-04-05,5,0.00125,914.19,Processor,139,Rate Shopping,2023-04-10,2023-04-15
90116,70000249,2,2023-04-11,5,0.00125,914.19,Processor,130,Appraisal Delay,2023-04-15,2023-04-20
90117,70000250,1,2023-05-12,5,0.00125,366.2,Broker,127,Appraisal Delay,2023-05-16,2023-05-21
90118,70000251,1,2023-02-04,5,0.00125,825.8,Loan Officer,139,Borrower Delay,2023-02-09,2023-02-14
90119,70000253,1,2023-03-27,5,0.00125,610.43,Broker,127,Rate Shopping,2023-03-28,2023-04-02
90120,70000253,2,2023-03-29,5,0.00125,610.43,Broker,131,Rate Shopping,2023-04-02,2023-04-07
90121,70000256,1,2023-04-23,15,0.0025,814.88,Loan Officer,135,Rate Shopping,2023-04-27,2023-05-12
90122,70000259,1,2023-03-05,5,0.00125,1120.93,Broker,132,Appraisal Delay,2023-03-06,2023-03-11
90123,70000265,1,2023-04-13,5,0.00125,418.9,Processor,134,Rate Shopping,2023-04-18,2023-04-23
90124,70000266,1,2023-03-05,15,0.0025,1699.11,Loan Officer,126,Title Issues,2023-03-10,2023-03-25
90125,70000267,1,2023-03-20,15,0.0025,1852.76,Processor,126,Title Issues,2023-03-21,2023-04-05
90126,70000269,1,2023-03-18,15,0.0025,946.54,Loan Officer,139,Appraisal Delay,2023-03-21,2023-04-05
90127,70000271,1,2023-03-11,15,0.0025,1019.64,Processor,138,Title Issues,2023-03-12,2023-03-27
90128,70000271,2,2023-03-26,15,0.0025,1019.64,Processor,127,Title Issues,2023-03-27,2023-04-11
90129,70000272,1,2023-03-19,15,0.0025,2190.98,Broker,136,Appraisal Delay,2023-03-24,2023-04-08
90130,70000272,2,2023-04-03,15,0.0025,2190.98,Broker,125,Appraisal Delay,2023-04-08,2023-04-23
90131,70000275,1,2023-04-15,15,0.0025,551.43,Loan Officer,133,Rate Shopping,2023-04-17,2023-05-02
90132,70000276,1,2023-04-26,15,0.0025,685.12,Processor,129,Appraisal Delay,2023-04-27,2023-05-12
90133,70000280,1,2023-06-01,5,0.00125,315.37,Broker,139,Appraisal Delay,2023-06-03,2023-06-08
90134,70000281,1,2023-03-01,15,0.0025,740.52,Processor,128,Underwriting Conditions,2023-03-06,2023-03-21
90135,70000282,1,2023-04-30,15,0.0025,955.77,Broker,133,Rate Shopping,2023-05-01,2023-05-16
90136,70000285,1,2023-04-30,15,0.0025,648.74,Processor,128,Underwriting Conditions,2023-05-02,2023-05-17
90137,70000293,1,2023-03-11,5,0.00125,658.26,Broker,125,Borrower Delay,2023-03-15,2023-03-20
90138,70000295,1,2023-02-13,5,0.00125,487.29,Broker,125,Rate Shopping,2023-02-14,2023-02-19
90139,70000296,1,2023-03-16,15,0.0025,854.11,Loan Officer,127,Title Issues,2023-03-21,2023-04-05
90140,70000299,1,2023-03-19,5,0.00125,402.38,Processor,137,Underwriting Conditions,2023-03-21,2023-03-26
90141,70000312,1,2023-03-28,15,0.0025,1176.95,Processor,127,Borrower Delay,2023-03-29,2023-04-13
90142,70000313,1,2023-05-11,15,0.0025,742.59,Processor,134,Rate Shopping,2023-05-15,2023-05-30
90143,70000319,1,2023-02-14,5,0.00125,492.25,Broker,136,Appraisal Delay,2023-02-16,2023-02-21
90144,70000322,1,2023-02-21,5,0.00125,742.07,Processor,132,Underwriting Conditions,2023-02-25,2023-03-02
90145,70000322,2,2023-02-25,15,0.0025,1484.13,Loan Officer,128,Title Issues,2023-03-02,2023-03-17
90146,70000323,1,2023-03-21,5,0.00125,880.31,Broker,127,Title Issues,2023-03-24,2023-03-29
90147,70000325,1,2023-04-21,15,0.0025,744.1,Processor,126,Appraisal Delay,2023-04-23,2023-05-08
90148,70000325,2,2023-05-04,15,0.0025,744.1,Processor,134,Title Issues,2023-05-08,2023-05-23
90149,70000326,1,2023-03-01,5,0.00125,363.9,Processor,136,Title Issues,2023-03-06,2023-03-11
90150,70000335,1,2023-05-13,15,0.0025,758.14,Processor,139,Rate Shopping,2023-05-14,2023-05-29
90151,70000343,1,2023-05-01,15,0.0025,863.47,Broker,136,Borrower Delay,2023-05-02,2023-05-17
90152,70000343,2,2023-05-12,15,0.0025,863.47,Broker,126,Underwriting Conditions,2023-05-17,2023-06-01
90153,70000348,1,2023-02-18,5,0.00125,971.6,Processor,128,Appraisal Delay,2023-02-20,2023-02-25
90154,70000352,1,2023-03-25,15,0.0025,1407.42,Processor,129,Underwriting Conditions,2023-03-28,2023-04-12
90155,70000352,2,2023-04-08,5,0.00125,703.71,Loan Officer,138,Rate Shopping,2023-04-12,2023-04-17
90156,70000355,1,2023-05-27,5,0.00125,733.32,Loan Officer,132,Borrower Delay,2023-05-31,2023-06-05
90157,70000359,1,2023-04-14,15,0.0025,543.52,Loan Officer,134,Borrower Delay,2023-04-17,2023-05-02
90158,70000360,1,2023-04-21,5,0.00125,1094.57,Processor,139,Appraisal Delay,2023-04-26,2023-05-01
90159,70000361,1,2023-03-11,15,0.0025,663.29,Processor,136,Rate Shopping,2023-03-16,2023-03-31
90160,70000362,1,2023-03-29,15,0.0025,874.02,Broker,134,Borrower Delay,2023-03-31,2023-04-15
90161,70000367,1,2023-02-01,15,0.0025,807.14,Broker,138,Borrower Delay,2023-02-06,2023-02-21
90162,70000372,1,2023-04-12,5,0.00125,439.14,Broker,129,Appraisal Delay,2023-04-15,2023-04-20
90163,70000374,1,2023-04-17,15,0.0025,1222.34,Processor,129,Appraisal Delay,2023-04-20,2023-05-05
90164,70000374,2,2023-05-02,5,0.00125,611.17,Broker,135,Borrower Delay,2023-05-05,2023-05-10
90165,70000382,1,2023-01-31,15,0.0025,1524.18,Broker,128,Underwriting Conditions,2023-02-04,2023-02-19
90166,70000391,1,2023-03-16,15,0.0025,832.97,Processor,126,Borrower Delay,2023-03-17,2023-04-01
90167,70000391,2,2023-03-31,5,0.00125,416.49,Broker,128,Rate Shopping,2023-04-01,2023-04-06
90168,70000398,1,2023-04-06,5,0.00125,535.56,Broker,129,Appraisal Delay,2023-04-09,2023-04-14
90169,70000403,1,2023-01-30,15,0.0025,1629.28,Broker,128,Rate Shopping,2023-02-02,2023-02-17
90170,70000404,1,2023-04-18,15,0.0025,775.16,Broker,132,Rate Shopping,2023-04-21,2023-05-06
90171,70000404,2,2023-05-05,5,0.00125,387.58,Loan Officer,128,Appraisal Delay,2023-05-06,2023-05-11
90172,70000411,1,2023-05-16,15,0.0025,1957.1,Loan Officer,129,Title Issues,2023-05-20,2023-06-04
90173,70000414,1,2023-05-22,15,0.0025,566.26,Broker,130,Underwriting Conditions,2023-05-23,2023-06-07
90174,70000415,1,2023-03-05,15,0.0025,1148.46,Loan Officer,126,Appraisal Delay,2023-03-09,2023-03-24
90175,70000418,1,2023-02-25,15,0.0025,1135.32,Loan Officer,131,Rate Shopping,2023-03-02,2023-03-17
90176,70000421,1,2023-04-20,5,0.00125,530.64,Processor,126,Underwriting Conditions,2023-04-23,2023-04-28
90177,70000421,2,2023-04-25,5,0.00125,530.64,Broker,128,Title Issues,2023-04-28,2023-05-03
90178,70000441,1,2023-04-14,15,0.0025,1551.11,Loan Officer,133,Rate Shopping,2023-04-19,2023-05-04
90179,70000446,1,2023-04-20,15,0.0025,904.12,Broker,137,Rate Shopping,2023-04-21,2023-05-06
90180,70000446,2,2023-05-05,5,0.00125,452.06,Processor,132,Borrower Delay,2023-05-06,2023-05-11
90181,70000447,1,2023-02-19,15,0.0025,667.08,Processor,129,Underwriting Conditions,2023-02-21,2023-03-08
90182,70000448,1,2023-04-21,5,0.00125,409.82,Broker,131,Appraisal Delay,2023-04-26,2023-05-01
90183,70000448,2,2023-04-26,5,0.00125,409.82,Processor,135,Title Issues,2023-05-01,2023-05-06
90184,70000449,1,2023-01-31,15,0.0025,1297.55,Processor,127,Borrower Delay,2023-02-03,2023-02-18
90185,70000454,1,2023-02-08,5,0.00125,360.09,Broker,139,Title Issues,2023-02-12,2023-02-17
90186,70000455,1,2023-03-08,15,0.0025,539.33,Broker,136,Title Issues,2023-03-12,2023-03-27
90187,70000455,2,2023-03-22,5,0.00125,269.66,Broker,126,Title Issues,2023-03-27,2023-04-01
90188,70000461,1,2023-03-24,5,0.00125,340.58,Broker,133,Borrower Delay,2023-03-28,2023-04-02
90189,70000468,1,2023-04-10,15,0.0025,692.62,Loan Officer,126,Title Issues,2023-04-15,2023-04-30
90190,70000468,2,2023-04-27,15,0.0025,692.62,Loan Officer,128,Title Issues,2023-04-30,2023-05-15
90191,70000476,1,2023-04-13,15,0.0025,1070.62,Processor,127,Appraisal Delay,2023-04-14,2023-04-29
90192,70000483,1,2023-04-27,5,0.00125,251.1,Processor,127,Borrower Delay,2023-04-29,2023-05-04
90193,70000493,1,2023-04-18,5,0.00125,556.29,Processor,127,Appraisal Delay,2023-04-20,2023-04-25
90194,70000495,1,2023-04-21,5,0.00125,270.23,Loan Officer,127,Appraisal Delay,2023-04-22,2023-04-27
90195,70000498,1,2023-04-26,15,0.0025,1124.54,Broker,134,Underwriting Conditions,2023-04-29,2023-05-14
90196,70000499,1,2023-04-16,5,0.00125,855.8,Processor,126,Borrower Delay,2023-04-18,2023-04-23
90197,70000505,1,2023-02-12,5,0.00125,553.32,Broker,133,Borrower Delay,2023-02-17,2023-02-22
90198,70000508,1,2023-04-19,5,0.00125,568.17,Processor,137,Rate Shopping,2023-04-24,2023-04-29
90199,70000509,1,2023-02-17,15,0.0025,989.52,Broker,139,Appraisal Delay,2023-02-18,2023-03-05
90200,70000510,1,2023-03-08,5,0.00125,316.26,Broker,127,Title Issues,2023-03-10,2023-03-15
90201,70000512,1,2023-02-22,15,0.0025,786.61,Loan Officer,138,Appraisal Delay,2023-02-26,2023-03-13
90202,70000514,1,2023-02-05,5,0.00125,783.87,Loan Officer,137,Title Issues,2023-02-08,2023-02-13
90203,70000517,1,2023-04-28,5,0.00125,383.86,Processor,129,Underwriting Conditions,2023-05-01,2023-05-06
90204,70000524,1,2023-03-09,15,0.0025,658.65,Loan Officer,127,Borrower Delay,2023-03-13,2023-03-28
90205,70000525,1,2023-04-16,15,0.0025,1464.4,Processor,130,Title Issues,2023-04-17,2023-05-02
90206,70000525,2,2023-04-27,15,0.0025,1464.4,Processor,130,Title Issues,2023-05-02,2023-05-17
90207,70000527,1,2023-03-04,5,0.00125,704.68,Loan Officer,139,Title Issues,2023-03-09,2023-03-14
90208,70000527,2,2023-03-09,15,0.0025,1409.35,Broker,137,Rate Shopping,2023-03-14,2023-03-29
90209,70000530,1,2023-05-30,5,0.00125,392.43,Broker,136,Rate Shopping,2023-06-03,2023-06-08
90210,70000531,1,2023-03-12,15,0.0025,1065.75,Loan Officer,136,Title Issues,2023-03-13,2023-03-28
90211,70000531,2,2023-03-23,15,0.0025,1065.75,Processor,138,Appraisal Delay,2023-03-28,2023-04-12
90212,70000532,1,2023-03-18,5,0.00125,311.45,Processor,129,Borrower Delay,2023-03-20,2023-03-25
90213,70000532,2,2023-03-24,5,0.00125,311.45,Processor,133,Appraisal Delay,2023-03-25,2023-03-30
90214,70000533,1,2023-03-17,5,0.00125,363.57,Loan Officer,126,Underwriting Conditions,2023-03-18,2023-03-23
90215,70000533,2,2023-03-20,5,0.00125,363.57,Broker,128,Rate Shopping,2023-03-23,2023-03-28
90216,70000533,3,2023-03-25,15,0.0025,727.14,Processor,130,Borrower Delay,2023-03-28,2023-04-12
90217,70000534,1,2023-05-09,5,0.00125,317.75,Broker,130,Rate Shopping,2023-05-10,2023-05-15
90218,70000546,1,2023-03-27,5,0.00125,325.81,Broker,137,Underwriting Conditions,2023-03-30,2023-04-04
90219,70000546,2,2023-04-03,5,0.00125,325.81,Broker,137,Borrower Delay,2023-04-04,2023-04-09
90220,70000551,1,2023-04-16,5,0.00125,615.91,Processor,127,Rate Shopping,2023-04-17,2023-04-22
90221,70000556,1,2023-04-18,5,0.00125,663.19,Processor,130,Underwriting Conditions,2023-04-23,2023-04-28
90222,70000557,1,2023-02-17,5,0.00125,460.32,Loan Officer,132,Appraisal Delay,2023-02-21,2023-02-26
90223,70000560,1,2023-02-17,15,0.0025,867.02,Loan Officer,127,Appraisal Delay,2023-02-19,2023-03-06
90224,70000560,2,2023-03-02,5,0.00125,433.51,Loan Officer,134,Appraisal Delay,2023-03-06,2023-03-11
90225,70000567,1,2023-04-27,5,0.00125,326.88,Broker,136,Borrower Delay,2023-05-02,2023-05-07
90226,70000570,1,2023-02-04,5,0.00125,780.03,Processor,136,Title Issues,2023-02-08,2023-02-13
90227,70000571,1,2023-03-18,5,0.00125,498.91,Processor,132,Borrower Delay,2023-03-23,2023-03-28
90228,70000576,1,2023-04-26,15,0.0025,764.84,Loan Officer,134,Appraisal Delay,2023-04-29,2023-05-14
90229,70000578,1,2023-02-13,5,0.00125,427.41,Processor,129,Appraisal Delay,2023-02-17,2023-02-22
90230,70000583,1,2023-04-15,5,0.00125,905.29,Broker,127,Title Issues,2023-04-19,2023-04-24
90231,70000591,1,2023-04-10,15,0.0025,674.99,Broker,125,Title Issues,2023-04-12,2023-04-27
90232,70000591,2,2023-04-22,15,0.0025,674.99,Processor,131,Borrower Delay,2023-04-27,2023-05-12
90233,70000593,1,2023-03-19,5,0.00125,903.76,Loan Officer,127,Borrower Delay,2023-03-20,2023-03-25
90234,70000596,1,2023-05-05,5,0.00125,614.19,Processor,138,Title Issues,2023-05-10,2023-05-15
90235,70000605,1,2023-04-12,15,0.0025,810.22,Broker,133,Rate Shopping,2023-04-13,2023-04-28
90236,70000612,1,2023-04-12,15,0.0025,941.53,Processor,131,Title Issues,2023-04-17,2023-05-02
90237,70000612,2,2023-04-27,5,0.00125,470.77,Broker,133,Borrower Delay,2023-05-02,2023-05-07
90238,70000613,1,2023-04-06,15,0.0025,1985.74,Broker,133,Borrower Delay,2023-04-10,2023-04-25
90239,70000614,1,2023-02-27,5,0.00125,543.35,Processor,131,Borrower Delay,2023-03-03,2023-03-08
90240,70000617,1,2023-02-24,5,0.00125,779.43,Loan Officer,133,Title Issues,2023-02-28,2023-03-05
90241,70000622,1,2023-04-10,5,0.00125,1025.53,Broker,137,Underwriting Conditions,2023-04-13,2023-04-18
90242,70000623,1,2023-02-08,15,0.0025,1555.55,Broker,135,Appraisal Delay,2023-02-11,2023-02-26
90243,70000623,2,2023-02-25,15,0.0025,1555.55,Loan Officer,131,Title Issues,2023-02-26,2023-03-13
90244,70000627,1,2023-02-25,5,0.00125,403.78,Broker,125,Rate Shopping,2023-02-26,2023-03-03
90245,70000627,2,2023-02-28,5,0.00125,403.78,Broker,138,Appraisal Delay,2023-03-03,2023-03-08
