Extension ID,Loan Number,Extension Number,Date Extension Requested,Extension (Days),Extension Cost (%),Extension Cost ($),Extension Requestor,Approved By (ID),Extension Reason,Expiration Before Extension,Expiration After Extension,Total Extension Days,Total Extension Cost ($),Extension Count,Extension Bucket
90028,70000061,2,2023-02-18,15,0.0025,1231.62,Loan Officer,138,Underwriting Conditions,2023-02-23,2023-03-10,20,1847.4299999999998,2,1–2 Extensions
90029,70000067,1,2023-04-30,15,0.0025,721.11,Broker,126,Borrower Delay,2023-05-04,2023-05-19,15,721.11,1,1–2 Extensions
90030,70000072,1,2023-02-14,15,0.0025,1129.78,Processor,128,Title Issues,2023-02-16,2023-03-03,15,1129.78,1,1–2 Extensions
90031,70000073,1,2023-03-08,5,0.00125,856.82,Loan Officer,130,Title Issues,2023-03-13,2023-03-18,5,856.82,1,1–2 Extensions
90032,70000076,1,2023-02-14,15,0.0025,844.18,Broker,125,Appraisal Delay,2023-02-16,2023-03-03,15,844.18,1,1–2 Extensions
90033,70000078,1,2023-05-04,5,0.00125,727.1,Loan Officer,137,Appraisal Delay,2023-05-07,2023-05-12,5,727.1,1,1–2 Extensions
90034,70000085,1,2023-04-10,5,0.00125,647.31,Processor,132,Appraisal Delay,2023-04-14,2023-04-19,5,647.31,1,1–2 Extensions
90035,70000087,1,2023-03-27,15,0.0025,978.59,Processor,138,Appraisal Delay,2023-03-31,2023-04-15,30,1957.18,2,1–2 Extensions
90036,70000087,2,2023-04-10,15,0.0025,978.59,Processor,130,Title Issues,2023-04-15,2023-04-30,30,1957.18,2,1–2 Extensions
90037,70000088,1,2023-02-16,15,0.0025,1007.05,Broker,126,Rate Shopping,2023-02-17,2023-03-04,50,3524.68,4,3+ Extensions
90038,70000088,2,2023-03-02,5,0.00125,503.53,Processor,125,Borrower Delay,2023-03-04,2023-03-09,50,3524.68,4,3+ Extensions
90039,70000088,3,2023-03-07,15,0.0025,1007.05,Loan Officer,139,Title Issues,2023-03-09,2023-03-24,50,3524.68,4,3+ Extensions
90040,70000088,4,2023-03-20,15,0.0025,1007.05,Broker,131,Rate Shopping,2023-03-24,2023-04-08,50,3524.68,4,3+ Extensions
90041,70000089,1,2023-05-10,5,0.00125,585.13,Broker,134,Rate Shopping,2023-05-13,2023-05-18,35,2925.67,3,3+ Extensions
90042,70000089,2,2023-05-16,15,0.0025,1170.27,Processor,135,Appraisal Delay,2023-05-18,2023-06-02,35,2925.67,3,3+ Extensions
90043,70000089,3,2023-05-29,15,0.0025,1170.27,Broker,137,Appraisal Delay,2023-06-02,2023-06-17,35,2925.67,3,3+ Extensions
90044,70000092,1,2023-02-04,5,0.00125,778.49,Broker,131,Appraisal Delay,2023-02-07,2023-02-12,40,4670.9400000000005,4,3+ Extensions
90045,70000092,2,2023-02-08,5,0.00125,778.49,Broker,128,Borrower Delay,2023-02-12,2023-02-17,40,4670.9400000000005,4,3+ Extensions
90046,70000092,3,2023-02-16,15,0.0025,1556.98,Loan Officer,131,Borrower Delay,2023-02-17,2023-03-04,40,4670.9400000000005,4,3+ Extensions
90047,70000092,4,2023-02-28,15,0.0025,1556.98,Broker,137,Appraisal Delay,2023-03-04,2023-03-19,40,4670.9400000000005,4,3+ Extensions
90048,70000095,1,2023-05-13,5,0.00125,639.57,Processor,127,Title Issues,2023-05-16,2023-05-21,25,2558.28,3,3+ Extensions
90049,70000095,2,2023-05-20,5,0.00125,639.57,Loan Officer,127,Rate Shopping,2023-05-21,2023-05-26,25,2558.28,3,3+ Extensions
90050,70000095,3,2023-05-24,15,0.0025,1279.14,Loan Officer,139,Borrower Delay,2023-05-26,2023-06-10,25,2558.28,3,3+ Extensions
90051,70000096,1,2023-03-22,15,0.0025,1663.21,Processor,130,Rate Shopping,2023-03-23,2023-04-07,30,3326.42,2,1–2 Extensions
90052,70000096,2,2023-04-04,15,0.0025,1663.21,Loan Officer,127,Appraisal Delay,2023-04-07,2023-04-22,30,3326.42,2,1–2 Extensions
90053,70000100,1,2023-02-14,15,0.0025,1053.55,Processor,135,Appraisal Delay,2023-02-15,2023-03-02,20,1580.32,2,1–2 Extensions
90054,70000100,2,2023-02-26,5,0.00125,526.77,Processor,129,Rate Shopping,2023-03-02,2023-03-07,20,1580.32,2,1–2 Extensions
90055,70000105,1,2023-04-13,15,0.0025,810.53,Processor,133,Appraisal Delay,2023-04-14,2023-04-29,20,1215.8,2,1–2 Extensions
90056,70000105,2,2023-04-25,5,0.00125,405.27,Broker,126,Underwriting Conditions,2023-04-29,2023-05-04,20,1215.8,2,1–2 Extensions
90057,70000113,1,2023-04-06,15,0.0025,809.55,Processor,126,Borrower Delay,2023-04-08,2023-04-23,15,809.55,1,1–2 Extensions
90058,70000118,1,2023-03-26,15,0.0025,810.49,Loan Officer,133,Title Issues,2023-03-31,2023-04-15,20,1215.74,2,1–2 Extensions
90059,70000118,2,2023-04-10,5,0.00125,405.25,Loan Officer,139,Borrower Delay,2023-04-15,2023-04-20,20,1215.74,2,1–2 Extensions
90060,70000126,1,2023-02-26,5,0.00125,718.89,Processor,139,Rate Shopping,2023-02-28,2023-03-05,10,1437.78,2,1–2 Extensions
90061,70000126,2,2023-03-03,5,0.00125,718.89,Loan Officer,128,Rate Shopping,2023-03-05,2023-03-10,10,1437.78,2,1–2 Extensions
90062,70000127,1,2023-04-20,5,0.00125,586.2,Broker,137,Title Issues,2023-04-21,2023-04-26,10,1172.4,2,1–2 Extensions
90063,70000127,2,2023-04-24,5,0.00125,586.2,Processor,139,Appraisal Delay,2023-04-26,2023-05-01,10,1172.4,2,1–2 Extensions
90064,70000134,1,2023-02-19,15,0.0025,758.39,Processor,137,Title Issues,2023-02-20,2023-03-07,30,1516.78,2,1–2 Extensions
90065,70000134,2,2023-03-02,15,0.0025,758.39,Processor,138,Title Issues,2023-03-07,2023-03-22,30,1516.78,2,1–2 Extensions
90066,70000146,1,2023-04-16,5,0.00125,439.59,Broker,139,Title Issues,2023-04-20,2023-04-25,5,439.59,1,1–2 Extensions
90067,70000147,1,2023-04-14,15,0.0025,1885.33,Processor,126,Rate Shopping,2023-04-19,2023-05-04,15,1885.33,1,1–2 Extensions
90068,70000161,1,2023-04-13,5,0.00125,423.75,Loan Officer,126,Title Issues,2023-04-16,2023-04-21,5,423.75,1,1–2 Extensions
90069,70000162,1,2023-02-27,5,0.00125,514.67,Broker,136,Title Issues,2023-03-04,2023-03-09,5,514.67,1,1–2 Extensions
90070,70000163,1,2023-02-13,15,0.0025,1870.33,Processor,127,Borrower Delay,2023-02-14,2023-03-01,30,3740.66,2,1–2 Extensions
90071,70000163,2,2023-02-27,15,0.0025,1870.33,Loan Officer,136,Borrower Delay,2023-03-01,2023-03-16,30,3740.66,2,1–2 Extensions
90072,70000168,1,2023-03-20,5,0.00125,424.75,Loan Officer,127,Title Issues,2023-03-21,2023-03-26,5,424.75,1,1–2 Extensions
90073,70000171,1,2023-02-26,15,0.0025,1411.74,Broker,138,Appraisal Delay,2023-03-01,2023-03-16,45,4235.22,3,3+ Extensions
90074,70000171,2,2023-03-13,15,0.0025,1411.74,Loan Officer,139,Appraisal Delay,2023-03-16,2023-03-31,45,4235.22,3,3+ Extensions
90075,70000171,3,2023-03-26,15,0.0025,1411.74,Loan Officer,138,Title Issues,2023-03-31,2023-04-15,45,4235.22,3,3+ Extensions
90076,70000175,1,2023-04-04,15,0.0025,576.38,Processor,139,Appraisal Delay,2023-04-08,2023-04-23,30,1152.76,2,1–2 Extensions
90077,70000175,2,2023-04-22,15,0.0025,576.38,Processor,136,Underwriting Conditions,2023-04-23,2023-05-08,30,1152.76,2,1–2 Extensions
90078,70000176,1,2023-03-03,15,0.0025,1199.15,Broker,125,Title Issues,2023-03-06,2023-03-21,20,1798.73,2,1–2 Extensions
90079,70000176,2,2023-03-20,5,0.00125,599.58,Processor,135,Borrower Delay,2023-03-21,2023-03-26,20,1798.73,2,1–2 Extensions
90080,70000179,1,2023-04-22,5,0.00125,432.5,Loan Officer,134,Underwriting Conditions,2023-04-27,2023-05-02,50,3027.5299999999997,4,3+ Extensions
90081,70000179,2,2023-04-28,15,0.0025,865.01,Loan Officer,138,Appraisal Delay,2023-05-02,2023-05-17,50,3027.5299999999997,4,3+ Extensions
90082,70000179,3,2023-05-15,15,0.0025,865.01,Loan Officer,137,Borrower Delay,2023-05-17,2023-06-01,50,3027.5299999999997,4,3+ Extensions
90083,70000179,4,2023-05-27,15,0.0025,865.01,Broker,129,Title Issues,2023-06-01,2023-06-16,50,3027.5299999999997,4,3+ Extensions
90084,70000181,1,2023-05-17,5,0.00125,364.41,Broker,137,Appraisal Delay,2023-05-19,2023-05-24,25,1457.65,3,3+ Extensions
90085,70000181,2,2023-05-21,5,0.00125,364.41,Processor,132,Appraisal Delay,2023-05-24,2023-05-29,25,1457.65,3,3+ Extensions
90086,70000181,3,2023-05-28,15,0.0025,728.83,Broker,133,Underwriting Conditions,2023-05-29,2023-06-13,25,1457.65,3,3+ Extensions
90087,70000186,1,2023-04-29,5,0.00125,308.19,Processor,132,Appraisal Delay,2023-05-04,2023-05-09,10,616.38,2,1–2 Extensions
90088,70000186,2,2023-05-04,5,0.00125,308.19,Loan Officer,135,Borrower Delay,2023-05-09,2023-05-14,10,616.38,2,1–2 Extensions
90089,70000189,1,2023-03-27,5,0.00125,388.73,Loan Officer,133,Borrower Delay,2023-03-31,2023-04-05,20,1166.2,2,1–2 Extensions
90090,70000189,2,2023-03-31,15,0.0025,777.47,Broker,135,Borrower Delay,2023-04-05,2023-04-20,20,1166.2,2,1–2 Extensions
90091,70000196,1,2023-04-30,15,0.0025,678.89,Broker,129,Title Issues,2023-05-02,2023-05-17,15,678.89,1,1–2 Extensions
90092,70000200,1,2023-03-08,15,0.0025,655.53,Loan Officer,139,Underwriting Conditions,2023-03-12,2023-03-27,20,983.29,2,1–2 Extensions
90093,70000200,2,2023-03-26,5,0.00125,327.76,Loan Officer,135,Underwriting Conditions,2023-03-27,2023-04-01,20,983.29,2,1–2 Extensions
90094,70000206,1,2023-04-16,15,0.0025,755.53,Broker,127,Rate Shopping,2023-04-20,2023-05-05,15,755.53,1,1–2 Extensions
90095,70000211,1,2023-04-17,15,0.0025,2323.59,Loan Officer,125,Rate Shopping,2023-04-22,2023-05-07,20,3485.38,2,1–2 Extensions
90096,70000211,2,2023-05-06,5,0.00125,1161.79,Processor,126,Title Issues,2023-05-07,2023-05-12,20,3485.38,2,1–2 Extensions
90097,70000214,1,2023-04-18,15,0.0025,896.3,Broker,126,Appraisal Delay,2023-04-23,2023-05-08,15,896.3,1,1–2 Extensions
90098,70000220,1,2023-03-12,15,0.0025,1717.94,Loan Officer,128,Borrower Delay,2023-03-13,2023-03-28,20,2576.91,2,1–2 Extensions
90099,70000220,2,2023-03-27,5,0.00125,858.97,Broker,139,Underwriting Conditions,2023-03-28,2023-04-02,20,2576.91,2,1–2 Extensions
90100,70000224,1,2023-04-20,15,0.0025,1050.31,Broker,138,Appraisal Delay,2023-04-23,2023-05-08,15,1050.31,1,1–2 Extensions
90101,70000225,1,2023-03-07,5,0.00125,998.28,Processor,136,Underwriting Conditions,2023-03-11,2023-03-16,5,998.28,1,1–2 Extensions
90102,70000227,1,2023-03-17,5,0.00125,485.65,Loan Officer,135,Title Issues,2023-03-19,2023-03-24,5,485.65,1,1–2 Extensions
90103,70000229,1,2023-03-16,5,0.00125,498.0,Loan Officer,125,Rate Shopping,2023-03-19,2023-03-24,5,498.0,1,1–2 Extensions
90104,70000233,1,2023-02-17,15,0.0025,1073.06,Broker,135,Underwriting Conditions,2023-02-18,2023-03-05,30,2146.12,2,1–2 Extensions
90105,70000233,2,2023-03-03,15,0.0025,1073.06,Processor,139,Borrower Delay,2023-03-05,2023-03-20,30,2146.12,2,1–2 Extensions
90106,70000234,1,2023-01-21,15,0.0025,1005.64,Loan Officer,128,Borrower Delay,2023-01-23,2023-02-07,60,4022.56,4,3+ Extensions
90107,70000234,2,2023-02-05,15,0.0025,1005.64,Loan Officer,134,Rate Shopping,2023-02-07,2023-02-22,60,4022.56,4,3+ Extensions
90108,70000234,3,2023-02-19,15,0.0025,1005.64,Processor,132,Rate Shopping,2023-02-22,2023-03-09,60,4022.56,4,3+ Extensions
90109,70000234,4,2023-03-07,15,0.0025,1005.64,Broker,137,Borrower Delay,2023-03-09,2023-03-24,60,4022.56,4,3+ Extensions
90110,70000237,1,2023-04-28,5,0.00125,154.32,Broker,136,Rate Shopping,2023-05-03,2023-05-08,5,154.32,1,1–2 Extensions
90111,70000241,1,2023-04-20,15,0.0025,496.34,Loan Officer,138,Borrower Delay,2023-04-25,2023-05-10,15,496.34,1,1–2 Extensions
90112,70000244,1,2023-02-26,15,0.0025,298.84,Processor,137,Title Issues,2023-03-03,2023-03-18,15,298.84,1,1–2 Extensions
90113,70000245,1,2023-04-13,5,0.00125,952.78,Loan Officer,130,Title Issues,2023-04-15,2023-04-20,20,2858.35,2,1–2 Extensions
90114,70000245,2,2023-04-18,15,0.0025,1905.57,Broker,137,Title Issues,2023-04-20,2023-05-05,20,2858.35,2,1–2 Extensions
90115,70000249,1,2023-04-05,5,0.00125,914.19,Processor,139,Rate Shopping,2023-04-10,2023-04-15,10,1828.38,2,1–2 Extensions
90116,70000249,2,2023-04-11,5,0.00125,914.19,Processor,130,Appraisal Delay,2023-04-15,2023-04-20,10,1828.38,2,1–2 Extensions
90117,70000250,1,2023-05-12,5,0.00125,366.2,Broker,127,Appraisal Delay,2023-05-16,2023-05-21,5,366.2,1,1–2 Extensions
90118,70000251,1,2023-02-04,5,0.00125,825.8,Loan Officer,139,Borrower Delay,2023-02-09,2023-02-14,5,825.8,1,1–2 Extensions
90119,70000253,1,2023-03-27,5,0.00125,610.43,Broker,127,Rate Shopping,2023-03-28,2023-04-02,10,1220.86,2,1–2 Extensions
90120,70000253,2,2023-03-29,5,0.00125,610.43,Broker,131,Rate Shopping,2023-04-02,2023-04-07,10,1220.86,2,1–2 Extensions
90121,70000256,1,2023-04-23,15,0.0025,814.88,Loan Officer,135,Rate Shopping,2023-04-27,2023-05-12,15,814.88,1,1–2 Extensions
90122,70000259,1,2023-03-05,5,0.00125,1120.93,Broker,132,Appraisal Delay,2023-03-06,2023-03-11,5,1120.93,1,1–2 Extensions
90123,70000265,1,2023-04-13,5,0.00125,418.9,Processor,134,Rate Shopping,2023-04-18,2023-04-23,5,418.9,1,1–2 Extensions
90124,70000266,1,2023-03-05,15,0.0025,1699.11,Loan Officer,126,Title Issues,2023-03-10,2023-03-25,15,1699.11,1,1–2 Extensions
90125,70000267,1,2023-03-20,15,0.0025,1852.76,Processor,126,Title Issues,2023-03-21,2023-04-05,15,1852.76,1,1–2 Extensions
90126,70000269,1,2023-03-18,15,0.0025,946.54,Loan Officer,139,Appraisal Delay,2023-03-21,2023-04-05,15,946.54,1,1–2 Extensions
90127,70000271,1,2023-03-11,15,0.0025,1019.64,Processor,138,Title Issues,2023-03-12,2023-03-27,30,2039.28,2,1–2 Extensions
90128,70000271,2,2023-03-26,15,0.0025,1019.64,Processor,127,Title Issues,2023-03-27,2023-04-11,30,2039.28,2,1–2 Extensions
90129,70000272,1,2023-03-19,15,0.0025,2190.98,Broker,136,Appraisal Delay,2023-03-24,2023-04-08,30,4381.96,2,1–2 Extensions
90130,70000272,2,2023-04-03,15,0.0025,2190.98,Broker,125,Appraisal Delay,2023-04-08,2023-04-23,30,4381.96,2,1–2 Extensions
90131,70000275,1,2023-04-15,15,0.0025,551.43,Loan Officer,133,Rate Shopping,2023-04-17,2023-05-02,15,551.43,1,1–2 Extensions
90132,70000276,1,2023-04-26,15,0.0025,685.12,Processor,129,Appraisal Delay,2023-04-27,2023-05-12,15,685.12,1,1–2 Extensions
90133,70000280,1,2023-06-01,5,0.00125,315.37,Broker,139,Appraisal Delay,2023-06-03,2023-06-08,5,315.37,1,1–2 Extensions
90134,70000281,1,2023-03-01,15,0.0025,740.52,Processor,128,Underwriting Conditions,2023-03-06,2023-03-21,15,740.52,1,1–2 Extensions
90135,70000282,1,2023-04-30,15,0.0025,955.77,Broker,133,Rate Shopping,2023-05-01,2023-05-16,15,955.77,1,1–2 Extensions
90136,70000285,1,2023-04-30,15,0.0025,648.74,Processor,128,Underwriting Conditions,2023-05-02,2023-05-17,15,648.74,1,1–2 Extensions
90137,70000293,1,2023-03-11,5,0.00125,658.26,Broker,125,Borrower Delay,2023-03-15,2023-03-20,5,658.26,1,1–2 Extensions
90138,70000295,1,2023-02-13,5,0.00125,487.29,Broker,125,Rate Shopping,2023-02-14,2023-02-19,5,487.29,1,1–2 Extensions
90139,70000296,1,2023-03-16,15,0.0025,854.11,Loan Officer,127,Title Issues,2023-03-21,2023-04-05,15,854.11,1,1–2 Extensions
90140,70000299,1,2023-03-19,5,0.00125,402.38,Processor,137,Underwriting Conditions,2023-03-21,2023-03-26,5,402.38,1,1–2 Extensions
90141,70000312,1,2023-03-28,15,0.0025,1176.95,Processor,127,Borrower Delay,2023-03-29,2023-04-13,15,1176.95,1,1–2 Extensions
90142,70000313,1,2023-05-11,15,0.0025,742.59,Processor,134,Rate Shopping,2023-05-15,2023-05-30,15,742.59,1,1–2 Extensions
90143,70000319,1,2023-02-14,5,0.00125,492.25,Broker,136,Appraisal Delay,2023-02-16,2023-02-21,5,492.25,1,1–2 Extensions
90144,70000322,1,2023-02-21,5,0.00125,742.07,Processor,132,Underwriting Conditions,2023-02-25,2023-03-02,20,2226.2000000000003,2,1–2 Extensions
90145,70000322,2,2023-02-25,15,0.0025,1484.13,Loan Officer,128,Title Issues,2023-03-02,2023-03-17,20,2226.2000000000003,2,1–2 Extensions
90146,70000323,1,2023-03-21,5,0.00125,880.31,Broker,127,Title Issues,2023-03-24,2023-03-29,5,880.31,1,1–2 Extensions
90147,70000325,1,2023-04-21,15,0.0025,744.1,Processor,126,Appraisal Delay,2023-04-23,2023-05-08,30,1488.2,2,1–2 Extensions
90148,70000325,2,2023-05-04,15,0.0025,744.1,Processor,134,Title Issues,2023-05-08,2023-05-23,30,1488.2,2,1–2 Extensions
90149,70000326,1,2023-03-01,5,0.00125,363.9,Processor,136,Title Issues,2023-03-06,2023-03-11,5,363.9,1,1–2 Extensions
90150,70000335,1,2023-05-13,15,0.0025,758.14,Processor,139,Rate Shopping,2023-05-14,2023-05-29,15,758.14,1,1–2 Extensions
90151,70000343,1,2023-05-01,15,0.0025,863.47,Broker,136,Borrower Delay,2023-05-02,2023-05-17,30,1726.94,2,1–2 Extensions
90152,70000343,2,2023-05-12,15,0.0025,863.47,Broker,126,Underwriting Conditions,2023-05-17,2023-06-01,30,1726.94,2,1–2 Extensions
90153,70000348,1,2023-02-18,5,0.00125,971.6,Processor,128,Appraisal Delay,2023-02-20,2023-02-25,5,971.6,1,1–2 Extensions
90154,70000352,1,2023-03-25,15,0.0025,1407.42,Processor,129,Underwriting Conditions,2023-03-28,2023-04-12,20,2111.13,2,1–2 Extensions
90155,70000352,2,2023-04-08,5,0.00125,703.71,Loan Officer,138,Rate Shopping,2023-04-12,2023-04-17,20,2111.13,2,1–2 Extensions
90156,70000355,1,2023-05-27,5,0.00125,733.32,Loan Officer,132,Borrower Delay,2023-05-31,2023-06-05,5,733.32,1,1–2 Extensions
90157,70000359,1,2023-04-14,15,0.0025,543.52,Loan Officer,134,Borrower Delay,2023-04-17,2023-05-02,15,543.52,1,1–2 Extensions
90158,70000360,1,2023-04-21,5,0.00125,1094.57,Processor,139,Appraisal Delay,2023-04-26,2023-05-01,5,1094.57,1,1–2 Extensions
90159,70000361,1,2023-03-11,15,0.0025,663.29,Processor,136,Rate Shopping,2023-03-16,2023-03-31,15,663.29,1,1–2 Extensions
90160,70000362,1,2023-03-29,15,0.0025,874.02,Broker,134,Borrower Delay,2023-03-31,2023-04-15,15,874.02,1,1–2 Extensions
90161,70000367,1,2023-02-01,15,0.0025,807.14,Broker,138,Borrower Delay,2023-02-06,2023-02-21,15,807.14,1,1–2 Extensions
90162,70000372,1,2023-04-12,5,0.00125,439.14,Broker,129,Appraisal Delay,2023-04-15,2023-04-20,5,439.14,1,1–2 Extensions
90163,70000374,1,2023-04-17,15,0.0025,1222.34,Processor,129,Appraisal Delay,2023-04-20,2023-05-05,20,1833.5099999999998,2,1–2 Extensions
90164,70000374,2,2023-05-02,5,0.00125,611.17,Broker,135,Borrower Delay,2023-05-05,2023-05-10,20,1833.5099999999998,2,1–2 Extensions
90165,70000382,1,2023-01-31,15,0.0025,1524.18,Broker,128,Underwriting Conditions,2023-02-04,2023-02-19,15,1524.18,1,1–2 Extensions
90166,70000391,1,2023-03-16,15,0.0025,832.97,Processor,126,Borrower Delay,2023-03-17,2023-04-01,20,1249.46,2,1–2 Extensions
90167,70000391,2,2023-03-31,5,0.00125,416.49,Broker,128,Rate Shopping,2023-04-01,2023-04-06,20,1249.46,2,1–2 Extensions
90168,70000398,1,2023-04-06,5,0.00125,535.56,Broker,129,Appraisal Delay,2023-04-09,2023-04-14,5,535.56,1,1–2 Extensions
90169,70000403,1,2023-01-30,15,0.0025,1629.28,Broker,128,Rate Shopping,2023-02-02,2023-02-17,15,1629.28,1,1–2 Extensions
90170,70000404,1,2023-04-18,15,0.0025,775.16,Broker,132,Rate Shopping,2023-04-21,2023-05-06,20,1162.74,2,1–2 Extensions
90171,70000404,2,2023-05-05,5,0.00125,387.58,Loan Officer,128,Appraisal Delay,2023-05-06,2023-05-11,20,1162.74,2,1–2 Extensions
90172,70000411,1,2023-05-16,15,0.0025,1957.1,Loan Officer,129,Title Issues,2023-05-20,2023-06-04,15,1957.1,1,1–2 Extensions
90173,70000414,1,2023-05-22,15,0.0025,566.26,Broker,130,Underwriting Conditions,2023-05-23,2023-06-07,15,566.26,1,1–2 Extensions
90174,70000415,1,2023-03-05,15,0.0025,1148.46,Loan Officer,126,Appraisal Delay,2023-03-09,2023-03-24,15,1148.46,1,1–2 Extensions
90175,70000418,1,2023-02-25,15,0.0025,1135.32,Loan Officer,131,Rate Shopping,2023-03-02,2023-03-17,15,1135.32,1,1–2 Extensions
90176,70000421,1,2023-04-20,5,0.00125,530.64,Processor,126,Underwriting Conditions,2023-04-23,2023-04-28,10,1061.28,2,1–2 Extensions
90177,70000421,2,2023-04-25,5,0.00125,530.64,Broker,128,Title Issues,2023-04-28,2023-05-03,10,1061.28,2,1–2 Extensions
90178,70000441,1,2023-04-14,15,0.0025,1551.11,Loan Officer,133,Rate Shopping,2023-04-19,2023-05-04,15,1551.11,1,1–2 Extensions
90179,70000446,1,2023-04-20,15,0.0025,904.12,Broker,137,Rate Shopping,2023-04-21,2023-05-06,20,1356.18,2,1–2 Extensions
90180,70000446,2,2023-05-05,5,0.00125,452.06,Processor,132,Borrower Delay,2023-05-06,2023-05-11,20,1356.18,2,1–2 Extensions
90181,70000447,1,2023-02-19,15,0.0025,667.08,Processor,129,Underwriting Conditions,2023-02-21,2023-03-08,15,667.08,1,1–2 Extensions
90182,70000448,1,2023-04-21,5,0.00125,409.82,Broker,131,Appraisal Delay,2023-04-26,2023-05-01,10,819.64,2,1–2 Extensions
90183,70000448,2,2023-04-26,5,0.00125,409.82,Processor,135,Title Issues,2023-05-01,2023-05-06,10,819.64,2,1–2 Extensions
90184,70000449,1,2023-01-31,15,0.0025,1297.55,Processor,127,Borrower Delay,2023-02-03,2023-02-18,15,1297.55,1,1–2 Extensions
90185,70000454,1,2023-02-08,5,0.00125,360.09,Broker,139,Title Issues,2023-02-12,2023-02-17,5,360.09,1,1–2 Extensions
