Loan Number,Application Date,Lock Date,Funding Date,Loan Amount,Property State,Property Type,Occupancy Type,Loan Purpose,Channel,Product Type,Interest Rate,FICO,CLTV,DTI,Lock Term (days),Loan Status,loan_officer_id,Account Executive ID,Underwriter ID,Processor ID,Compensation (BPS),Compensation ($),Branch ID,Pull Through Flag,Extension Count,Is Funded,Loan Age (Days),Days To Fund,App To Lock Days,Lock To Fund Days,FICO Bucket,CLTV Bucket,High DTI Flag,Total Time In Process,Loan Status Simplified,Loan Purpose Simplified
70000013,2023-02-18,2023-02-21,2023-03-17,323751,Tn,Sfr,Primary,Refi Rt,Retail,Fha,6.089,717,88,38,30,Funded,118,,137,140,70,2266.26,18,1,0,1,1153,27.0,3,24.0,Prime+ (700-739),81-90%,0,27.0,Funded,Refinance
70000014,2023-02-24,2023-03-01,2023-04-14,348390,Fl,Sfr,Primary,Refi Rt,Wholesale,Conventional,5.97,751,75,38,60,Funded,122,157.0,127,146,132,4598.75,18,1,0,1,1147,49.0,5,44.0,Excellent (740-799),71-80%,0,49.0,Funded,Refinance
70000015,2023-03-25,2023-03-27,2023-04-19,668058,Ny,2-4 Unit,Second Home,Purchase,Wholesale,Conventional,6.216,820,71,30,30,Funded,108,158.0,139,147,96,6413.36,12,1,1,1,1118,25.0,2,23.0,Elite (800+),71-80%,0,25.0,Funded,Purchase
70000016,2023-03-14,2023-03-18,2023-05-11,433915,Il,Sfr,Primary,Purchase,Retail,Conventional,6.693,699,73,32,30,Funded,122,,139,144,121,5250.37,18,1,1,1,1129,58.0,4,54.0,Prime (660-699),71-80%,0,58.0,Funded,Purchase
70000017,2023-03-08,2023-03-09,,186981,Nc,Condo,Primary,Refi Rt,Wholesale,Fha,5.973,715,72,33,30,Withdrawn,102,161.0,129,143,120,2243.77,18,0,0,0,1135,,1,,Prime+ (700-739),71-80%,0,1.0,Withdrawn,Refinance
70000018,2023-02-09,2023-02-14,2023-03-17,482151,Ny,Sfr,Primary,Purchase,Wholesale,Conventional,6.018,705,85,34,45,Funded,107,158.0,126,151,90,4339.36,22,1,0,1,1162,36.0,5,31.0,Prime+ (700-739),81-90%,0,36.0,Funded,Purchase
70000019,2023-03-10,2023-03-15,2023-04-11,251473,Sc,Sfr,Primary,Refi Rt,Wholesale,Conventional,5.811,731,82,36,30,Funded,109,157.0,128,145,128,3218.85,12,1,0,1,1133,32.0,5,27.0,Prime+ (700-739),81-90%,0,32.0,Funded,Refinance
70000020,2023-04-01,2023-04-05,2023-04-21,260924,Sc,Sfr,Primary,Purchase,Wholesale,Fha,6.236,713,72,30,45,Funded,118,162.0,129,147,78,2035.21,18,1,0,1,1111,20.0,4,16.0,Prime+ (700-739),71-80%,0,20.0,Funded,Purchase
70000021,2023-01-24,2023-01-24,2023-03-21,235235,Ga,Condo,Primary,Purchase,Retail,Conventional,6.206,686,73,43,45,Funded,109,,126,143,124,2916.91,12,1,0,1,1178,56.0,0,56.0,Prime (660-699),71-80%,0,56.0,Funded,Purchase
70000022,2023-02-23,2023-02-27,2023-04-11,770598,Ny,Sfr,Second Home,Purchase,Wholesale,Jumbo,6.896,818,78,38,30,Funded,109,155.0,134,149,121,9324.24,12,1,1,1,1148,47.0,4,43.0,Elite (800+),71-80%,0,47.0,Funded,Purchase
70000023,2023-01-13,2023-01-14,2023-03-04,350148,Ny,Sfr,Primary,Purchase,Retail,Conventional,6.694,806,89,34,30,Funded,109,,125,143,136,4762.01,12,1,0,1,1189,50.0,1,49.0,Elite (800+),81-90%,0,50.0,Funded,Purchase
70000024,2023-02-06,2023-02-11,2023-03-05,344864,Tx,Sfr,Primary,Purchase,Wholesale,Conventional,6.009,775,91,45,45,Funded,117,157.0,128,150,80,2758.91,18,1,2,1,1165,27.0,5,22.0,Excellent (740-799),91-100%,0,27.0,Funded,Purchase
70000025,2023-01-19,2023-01-19,2023-03-05,305745,Nc,Condo,Primary,Refi Rt,Wholesale,Conventional,6.413,721,70,41,30,Funded,108,162.0,133,148,93,2843.43,12,1,0,1,1183,45.0,0,45.0,Prime+ (700-739),61-70%,0,45.0,Funded,Refinance
70000026,2023-03-18,2023-03-18,2023-04-08,434519,Va,Condo,Primary,Purchase,Retail,Fha,5.752,705,85,27,60,Funded,124,,135,153,89,3867.22,12,1,0,1,1125,21.0,0,21.0,Prime+ (700-739),81-90%,0,21.0,Funded,Purchase
70000027,2023-01-06,2023-01-07,2023-02-17,632784,Ca,Sfr,Investment,Purchase,Retail,Fha,5.904,769,80,44,30,Funded,113,,130,145,107,6770.79,18,1,1,1,1196,42.0,1,41.0,Excellent (740-799),71-80%,0,42.0,Funded,Purchase
70000028,2023-01-21,2023-01-23,2023-02-26,754798,Ca,Sfr,Primary,Purchase,Wholesale,Jumbo,7.16,670,81,45,15,Funded,110,161.0,126,152,106,8000.86,22,1,2,1,1181,36.0,2,34.0,Prime (660-699),81-90%,0,36.0,Funded,Purchase
70000029,2023-01-01,2023-01-06,2023-02-07,374040,Tx,Sfr,Primary,Purchase,Wholesale,Conventional,6.188,662,89,45,30,Funded,117,159.0,127,154,72,2693.09,18,1,0,1,1201,37.0,5,32.0,Prime (660-699),81-90%,0,37.0,Funded,Purchase
70000030,2023-03-31,2023-04-03,2023-04-27,222971,Nc,2-4 Unit,Primary,Purchase,Retail,Conventional,6.164,762,86,48,45,Funded,114,,126,150,115,2564.17,35,1,2,1,1112,27.0,3,24.0,Excellent (740-799),81-90%,1,27.0,Funded,Purchase
70000031,2023-03-05,2023-03-10,2023-05-02,423445,Fl,Condo,Primary,Purchase,Retail,Conventional,6.036,794,83,27,30,Funded,116,,136,154,100,4234.45,22,1,0,1,1138,58.0,5,53.0,Excellent (740-799),81-90%,0,58.0,Funded,Purchase
70000032,2023-01-09,2023-01-11,,452524,Tx,Condo,Primary,Refi Rt,Retail,Conventional,6.249,704,76,28,45,Denied,118,,135,147,77,3484.43,18,0,0,0,1193,,2,,Prime+ (700-739),71-80%,0,2.0,Withdrawn,Refinance
70000033,2023-02-27,2023-03-03,2023-04-12,700938,Ca,Sfr,Second Home,Purchase,Wholesale,Va,6.11,685,81,26,60,Funded,107,161.0,138,152,103,7219.66,22,1,0,1,1144,44.0,4,40.0,Prime (660-699),81-90%,0,44.0,Funded,Purchase
70000034,2023-03-02,2023-03-07,2023-04-28,338257,Va,Sfr,Investment,Refi Rt,Wholesale,Conventional,6.345,722,87,35,60,Funded,110,162.0,138,141,91,3078.14,22,1,0,1,1141,57.0,5,52.0,Prime+ (700-739),81-90%,0,57.0,Funded,Refinance
70000035,2023-02-28,2023-02-28,2023-03-25,504027,Il,Sfr,Primary,Purchase,Retail,Jumbo,6.405,754,83,35,30,Funded,110,,138,150,93,4687.45,22,1,2,1,1143,25.0,0,25.0,Excellent (740-799),81-90%,0,25.0,Funded,Purchase
70000036,2023-02-18,2023-02-20,2023-03-24,461502,Ny,Condo,Primary,Purchase,Wholesale,Conventional,6.263,714,79,41,45,Funded,123,156.0,126,146,100,4615.02,35,1,1,1,1153,34.0,2,32.0,Prime+ (700-739),71-80%,0,34.0,Funded,Purchase
70000037,2023-04-01,2023-04-01,2023-05-24,690367,Ca,Sfr,Investment,Purchase,Wholesale,Conventional,6.265,711,76,31,30,Funded,113,157.0,134,150,92,6351.38,18,1,0,1,1111,53.0,0,53.0,Prime+ (700-739),71-80%,0,53.0,Funded,Purchase
70000038,2023-01-11,2023-01-15,2023-01-31,334918,Tx,Sfr,Primary,Refi Co,Retail,Conventional,6.314,670,81,38,30,Funded,114,,139,144,107,3583.62,35,1,0,1,1191,20.0,4,16.0,Prime (660-699),81-90%,0,20.0,Funded,Refinance
70000039,2023-01-21,2023-01-21,2023-03-06,512273,Ca,Sfr,Primary,Refi Rt,Retail,Conventional,6.667,685,71,42,45,Funded,115,,126,143,128,6557.09,18,1,0,1,1181,44.0,0,44.0,Prime (660-699),71-80%,0,44.0,Funded,Refinance
70000040,2023-02-15,2023-02-19,,364055,Fl,Sfr,Primary,Refi Rt,Retail,Conventional,5.962,775,87,31,60,Withdrawn,101,,139,149,72,2621.2,12,0,0,0,1156,,4,,Excellent (740-799),81-90%,0,4.0,Withdrawn,Refinance
70000041,2023-02-06,2023-02-07,2023-03-06,728815,Ny,Sfr,Primary,Refi Rt,Wholesale,Jumbo,6.372,672,83,34,45,Funded,120,155.0,126,154,83,6049.16,35,1,0,1,1165,28.0,1,27.0,Prime (660-699),81-90%,0,28.0,Funded,Refinance
70000042,2023-02-26,2023-02-26,2023-04-10,567538,Ny,Condo,Primary,Purchase,Wholesale,Conventional,6.155,750,73,34,30,Funded,116,159.0,133,154,118,6696.95,22,1,2,1,1145,43.0,0,43.0,Excellent (740-799),71-80%,0,43.0,Funded,Purchase
70000043,2023-02-02,2023-02-05,2023-03-19,413879,Tn,Sfr,Investment,Refi Rt,Retail,Conventional,5.69,747,67,32,45,Funded,117,,130,141,74,3062.7,18,1,1,1,1169,45.0,3,42.0,Excellent (740-799),61-70%,0,45.0,Funded,Refinance
70000044,2023-01-02,2023-01-04,,780674,Ny,Sfr,Primary,Refi Rt,Retail,Jumbo,7.421,725,84,27,45,Suspended,103,,135,143,93,7260.27,30,0,0,0,1200,,2,,Prime+ (700-739),81-90%,0,2.0,Suspended,Refinance
70000045,2023-03-21,2023-03-25,2023-04-12,368687,Fl,Sfr,Primary,Refi Rt,Retail,Fha,5.86,786,74,35,45,Funded,101,,129,147,88,3244.45,12,1,0,1,1122,22.0,4,18.0,Excellent (740-799),71-80%,0,22.0,Funded,Refinance
70000046,2023-01-31,2023-02-04,2023-03-18,245826,Sc,Sfr,Primary,Refi Rt,Wholesale,Conventional,6.012,715,84,42,45,Funded,120,162.0,126,153,90,2212.43,35,1,0,1,1171,46.0,4,42.0,Prime+ (700-739),81-90%,0,46.0,Funded,Refinance
70000047,2023-02-05,2023-02-05,,276093,Il,Sfr,Primary,Purchase,Retail,Jumbo,6.755,727,84,50,30,Suspended,120,,130,140,74,2043.09,35,0,0,0,1166,,0,,Prime+ (700-739),81-90%,1,0.0,Suspended,Purchase
70000048,2023-01-25,2023-01-25,2023-02-22,288610,Tn,Condo,Primary,Purchase,Wholesale,Jumbo,6.411,793,74,27,15,Funded,118,163.0,128,141,74,2135.71,18,1,0,1,1177,28.0,0,28.0,Excellent (740-799),71-80%,0,28.0,Funded,Purchase
70000049,2023-01-28,2023-01-29,2023-02-28,372849,Fl,Sfr,Investment,Purchase,Wholesale,Conventional,6.005,747,84,32,30,Funded,103,155.0,135,153,94,3504.78,30,1,0,1,1174,31.0,1,30.0,Excellent (740-799),81-90%,0,31.0,Funded,Purchase
70000050,2023-02-15,2023-02-16,2023-03-30,398744,Ny,Sfr,Primary,Purchase,Retail,Conventional,6.74,662,76,36,15,Funded,116,,134,141,109,4346.31,22,1,0,1,1156,43.0,1,42.0,Prime (660-699),71-80%,0,43.0,Funded,Purchase
70000051,2023-01-29,2023-02-02,2023-03-15,278510,Nc,Condo,Investment,Purchase,Retail,Jumbo,7.697,736,87,34,15,Funded,113,,135,141,109,3035.76,18,1,0,1,1173,45.0,4,41.0,Prime+ (700-739),81-90%,0,45.0,Funded,Purchase
70000052,2023-02-26,2023-02-26,2023-04-25,404871,Va,Sfr,Primary,Purchase,Wholesale,Conventional,5.681,771,75,50,45,Funded,116,163.0,129,147,118,4777.48,22,1,1,1,1145,58.0,0,58.0,Excellent (740-799),71-80%,1,58.0,Funded,Purchase
70000053,2023-01-13,2023-01-18,2023-03-03,301777,Nc,Sfr,Investment,Refi Rt,Wholesale,Conventional,6.591,740,88,31,60,Funded,112,156.0,131,151,91,2746.17,22,1,0,1,1189,49.0,5,44.0,Excellent (740-799),81-90%,0,49.0,Funded,Refinance
70000054,2023-02-10,2023-02-15,,222914,Ga,2-4 Unit,Primary,Purchase,Retail,Conventional,6.334,695,78,32,30,Withdrawn,111,,137,142,89,1983.93,18,0,0,0,1161,,5,,Prime (660-699),71-80%,0,5.0,Withdrawn,Purchase
70000055,2023-03-17,2023-03-21,2023-04-24,575331,Ny,Sfr,Primary,Refi Co,Wholesale,Conventional,6.143,758,91,38,60,Funded,119,156.0,129,145,130,7479.3,35,1,0,1,1126,38.0,4,34.0,Excellent (740-799),91-100%,0,38.0,Funded,Refinance
70000056,2023-01-28,2023-01-29,,446505,Il,Sfr,Primary,Refi Rt,Retail,Fha,5.763,739,93,22,45,Denied,117,,137,153,72,3214.84,18,0,0,0,1174,,1,,Prime+ (700-739),91-100%,0,1.0,Withdrawn,Refinance
70000057,2023-03-28,2023-04-02,,647491,Ny,Sfr,Primary,Refi Rt,Retail,Conventional,6.285,771,75,39,45,Suspended,111,,125,142,84,5438.92,18,0,0,0,1115,,5,,Excellent (740-799),71-80%,0,5.0,Suspended,Refinance
70000058,2023-03-14,2023-03-19,2023-04-26,625736,Ca,Sfr,Primary,Purchase,Wholesale,Conventional,6.479,675,73,41,30,Funded,109,164.0,136,145,136,8510.01,12,1,1,1,1129,43.0,5,38.0,Prime (660-699),71-80%,0,43.0,Funded,Purchase
70000059,2023-01-07,2023-01-08,2023-02-28,255441,Sc,Sfr,Primary,Purchase,Wholesale,Conventional,7.226,658,73,38,30,Funded,103,156.0,130,146,109,2784.31,30,1,0,1,1195,52.0,1,51.0,Near Prime (620-659),71-80%,0,52.0,Funded,Purchase
70000060,2023-03-28,2023-04-01,2023-04-25,635056,Ca,Sfr,Primary,Purchase,Retail,Conventional,6.824,762,65,32,30,Funded,124,,129,144,89,5652.0,12,1,0,1,1115,28.0,4,24.0,Excellent (740-799),61-70%,0,28.0,Funded,Purchase
70000061,2023-01-01,2023-01-04,2023-01-23,492648,Il,Sfr,Primary,Refi Rt,Retail,Va,6.073,744,85,35,45,Funded,113,,125,147,96,4729.42,18,1,2,1,1201,22.0,3,19.0,Excellent (740-799),81-90%,0,22.0,Funded,Refinance
70000062,2023-02-10,2023-02-14,,542329,Ca,Sfr,Primary,Purchase,Retail,Jumbo,6.989,787,87,39,30,Suspended,114,,138,151,116,6291.02,35,0,0,0,1161,,4,,Excellent (740-799),81-90%,0,4.0,Suspended,Purchase
70000063,2023-01-12,2023-01-15,2023-02-11,365335,Tx,Sfr,Primary,Purchase,Retail,Conventional,6.311,742,86,44,30,Funded,102,,133,150,116,4237.89,18,1,0,1,1190,30.0,3,27.0,Excellent (740-799),81-90%,0,30.0,Funded,Purchase
70000064,2023-03-07,2023-03-08,2023-05-04,361809,Va,Sfr,Primary,Refi Rt,Wholesale,Conventional,6.034,711,82,46,30,Funded,104,156.0,137,152,89,3220.1,30,1,0,1,1136,58.0,1,57.0,Prime+ (700-739),81-90%,1,58.0,Funded,Refinance
70000065,2023-03-22,2023-03-25,2023-05-21,613721,Ca,Sfr,Primary,Refi Rt,Wholesale,Fha,5.749,692,79,44,60,Funded,110,156.0,127,147,102,6259.95,22,1,0,1,1121,60.0,3,57.0,Prime (660-699),71-80%,0,60.0,Funded,Refinance
70000066,2023-03-22,2023-03-24,2023-04-16,461669,Tx,Sfr,Primary,Purchase,Retail,Conventional,6.088,663,73,35,30,Funded,119,,134,148,110,5078.36,35,1,0,1,1121,25.0,2,23.0,Prime (660-699),71-80%,0,25.0,Funded,Purchase
70000067,2023-03-16,2023-03-20,2023-04-08,288445,Tn,Condo,Primary,Refi Co,Retail,Conventional,6.254,723,73,36,45,Funded,114,,126,152,108,3115.21,35,1,1,1,1127,23.0,4,19.0,Prime+ (700-739),71-80%,0,23.0,Funded,Refinance
70000068,2023-02-13,2023-02-18,2023-03-23,304879,Nc,Sfr,Primary,Refi Rt,Wholesale,Conventional,6.039,681,91,31,45,Funded,112,160.0,131,152,90,2743.91,22,1,0,1,1158,38.0,5,33.0,Prime (660-699),91-100%,0,38.0,Funded,Refinance
70000069,2023-01-07,2023-01-12,,636688,Ny,Sfr,Primary,Refi Rt,Retail,Fha,5.994,661,86,34,45,Suspended,104,,130,141,97,6175.87,30,0,0,0,1195,,5,,Prime (660-699),81-90%,0,5.0,Suspended,Refinance
70000070,2023-01-19,2023-01-21,2023-03-01,291595,Fl,Sfr,Primary,Purchase,Wholesale,Conventional,6.011,666,77,24,45,Funded,104,163.0,135,151,96,2799.31,30,1,0,1,1183,41.0,2,39.0,Prime (660-699),71-80%,0,41.0,Funded,Purchase
70000071,2023-03-27,2023-03-30,,572561,Ca,Sfr,Primary,Refi Co,Retail,Fha,5.35,659,85,35,30,Canceled,104,,126,144,84,4809.51,30,0,0,0,1116,,3,,Near Prime (620-659),81-90%,0,3.0,Withdrawn,Refinance
70000072,2023-01-13,2023-01-17,2023-02-12,451911,Tx,Condo,Investment,Purchase,Retail,Fha,5.42,793,89,32,30,Funded,105,,138,151,104,4699.87,12,1,1,1,1189,30.0,4,26.0,Excellent (740-799),81-90%,0,30.0,Funded,Purchase
70000073,2023-01-22,2023-01-27,2023-03-17,685457,Ca,Sfr,Primary,Purchase,Retail,Conventional,5.921,733,79,37,45,Funded,107,,129,152,91,6237.66,22,1,1,1,1180,54.0,5,49.0,Prime+ (700-739),71-80%,0,54.0,Funded,Purchase
70000074,2023-01-25,2023-01-27,2023-02-26,422297,Il,Sfr,Primary,Refi Rt,Wholesale,Conventional,6.353,796,82,37,30,Funded,119,159.0,127,153,114,4814.19,35,1,0,1,1177,32.0,2,30.0,Excellent (740-799),81-90%,0,32.0,Funded,Refinance
70000075,2023-03-03,2023-03-05,2023-04-24,760898,Ny,Sfr,Second Home,Refi Co,Retail,Jumbo,7.159,665,74,31,45,Funded,104,,138,146,92,7000.26,30,1,0,1,1140,52.0,2,50.0,Prime (660-699),71-80%,0,52.0,Funded,Refinance
70000076,2023-01-29,2023-02-01,2023-03-10,337673,Va,2-4 Unit,Primary,Purchase,Retail,Conventional,5.839,741,88,46,15,Funded,103,,138,151,97,3275.43,30,1,1,1,1173,40.0,3,37.0,Excellent (740-799),81-90%,1,40.0,Funded,Purchase
70000077,2023-01-19,2023-01-20,,274901,Nc,2-4 Unit,Primary,Refi Rt,Wholesale,Conventional,6.122,771,79,42,45,Suspended,100,157.0,129,143,131,3601.2,22,0,0,0,1183,,1,,Excellent (740-799),71-80%,0,1.0,Suspended,Refinance
70000078,2023-03-19,2023-03-23,2023-05-09,581680,Ca,Condo,Primary,Purchase,Retail,Fha,6.007,726,71,34,45,Funded,119,,133,140,124,7212.83,35,1,1,1,1124,51.0,4,47.0,Prime+ (700-739),71-80%,0,51.0,Funded,Purchase
70000079,2023-03-15,2023-03-16,2023-04-27,511743,Il,Sfr,Primary,Purchase,Retail,Conventional,6.133,765,84,37,45,Funded,102,,133,148,111,5680.35,18,1,0,1,1128,43.0,1,42.0,Excellent (740-799),81-90%,0,43.0,Funded,Purchase
70000080,2023-03-06,2023-03-10,2023-04-10,323159,Nc,Condo,Primary,Purchase,Retail,Fha,6.015,649,70,21,30,Funded,123,,135,150,81,2617.59,35,1,0,1,1137,35.0,4,31.0,Near Prime (620-659),61-70%,0,35.0,Funded,Purchase
70000081,2023-03-16,2023-03-21,,416010,Tx,Sfr,Primary,Purchase,Wholesale,Va,5.332,700,90,42,45,Canceled,115,157.0,135,142,124,5158.52,18,0,0,0,1127,,5,,Prime+ (700-739),81-90%,0,5.0,Withdrawn,Purchase
70000082,2023-02-28,2023-02-28,2023-04-05,426456,Fl,Sfr,Primary,Purchase,Wholesale,Conventional,6.192,776,83,40,60,Funded,101,158.0,137,150,89,3795.46,12,1,0,1,1143,36.0,0,36.0,Excellent (740-799),81-90%,0,36.0,Funded,Purchase
70000083,2023-01-07,2023-01-12,,430725,Fl,Sfr,Primary,Refi Co,Wholesale,Va,5.867,637,79,26,30,Canceled,115,160.0,136,147,138,5944.01,18,0,0,0,1195,,5,,Near Prime (620-659),71-80%,0,5.0,Withdrawn,Refinance
70000084,2023-03-08,2023-03-10,2023-04-15,453573,Tx,Condo,Primary,Refi Rt,Wholesale,Conventional,5.598,801,65,46,30,Funded,109,161.0,132,149,135,6123.24,12,1,0,1,1135,38.0,2,36.0,Elite (800+),61-70%,1,38.0,Funded,Refinance
70000085,2023-02-26,2023-02-28,2023-04-27,517849,Ca,Condo,Investment,Refi Rt,Retail,Fha,5.872,749,77,50,45,Funded,112,,130,148,97,5023.14,22,1,1,1,1145,60.0,2,58.0,Excellent (740-799),71-80%,1,60.0,Funded,Refinance
70000086,2023-03-28,2023-03-29,2023-05-11,255838,Tn,Sfr,Primary,Refi Rt,Retail,Conventional,5.84,740,75,43,45,Funded,118,,125,149,79,2021.12,18,1,0,1,1115,44.0,1,43.0,Excellent (740-799),71-80%,0,44.0,Funded,Refinance
70000087,2023-02-27,2023-03-01,2023-03-30,391437,Fl,Condo,Primary,Purchase,Retail,Fha,5.491,697,70,49,30,Funded,115,,133,146,128,5010.39,18,1,2,1,1144,31.0,2,29.0,Prime (660-699),61-70%,1,31.0,Funded,Purchase
70000088,2023-01-16,2023-01-18,2023-02-09,402821,Tx,Condo,Primary,Refi Rt,Wholesale,Jumbo,6.86,683,80,49,30,Funded,114,162.0,127,154,110,4431.03,35,1,4,1,1186,24.0,2,22.0,Prime (660-699),71-80%,1,24.0,Funded,Refinance
70000089,2023-03-27,2023-03-29,2023-05-09,468108,Il,Sfr,Primary,Purchase,Retail,Fha,5.595,690,84,32,45,Funded,116,,128,141,113,5289.62,22,1,3,1,1116,43.0,2,41.0,Prime (660-699),81-90%,0,43.0,Funded,Purchase
70000090,2023-01-31,2023-02-03,2023-03-22,201316,Nc,Sfr,Primary,Refi Rt,Retail,Fha,5.371,774,93,34,15,Funded,116,,131,152,113,2274.87,22,1,0,1,1171,50.0,3,47.0,Excellent (740-799),91-100%,0,50.0,Funded,Refinance
70000091,2023-03-15,2023-03-15,2023-05-11,327010,Sc,Sfr,Primary,Purchase,Retail,Conventional,6.391,705,87,29,45,Funded,105,,137,142,94,3073.89,12,1,0,1,1128,57.0,0,57.0,Prime+ (700-739),81-90%,0,57.0,Funded,Purchase
70000092,2023-01-08,2023-01-08,2023-02-02,622790,Ca,Sfr,Primary,Refi Co,Retail,Jumbo,6.966,668,67,37,30,Funded,108,,128,150,102,6352.46,12,1,4,1,1194,25.0,0,25.0,Prime (660-699),61-70%,0,25.0,Funded,Refinance
70000093,2023-01-17,2023-01-22,,534971,Fl,Sfr,Primary,Purchase,Wholesale,Conventional,6.514,719,91,36,45,Withdrawn,119,164.0,130,153,111,5938.18,35,0,0,0,1185,,5,,Prime+ (700-739),91-100%,0,5.0,Withdrawn,Purchase
70000094,2023-01-04,2023-01-04,2023-03-05,223322,Nc,Sfr,Primary,Refi Rt,Wholesale,Conventional,6.875,775,63,43,45,Funded,117,159.0,129,150,74,1652.58,18,1,0,1,1198,60.0,0,60.0,Excellent (740-799),61-70%,0,60.0,Funded,Refinance
70000095,2023-03-29,2023-04-01,2023-05-08,511658,Fl,Sfr,Primary,Purchase,Retail,Conventional,5.857,643,87,36,45,Funded,123,,138,145,80,4093.26,35,1,3,1,1114,40.0,3,37.0,Near Prime (620-659),81-90%,0,40.0,Funded,Purchase
70000096,2023-02-17,2023-02-21,2023-04-17,665283,Ny,Sfr,Primary,Purchase,Retail,Conventional,6.188,628,86,37,30,Funded,113,,128,153,104,6918.94,18,1,2,1,1154,59.0,4,55.0,Near Prime (620-659),81-90%,0,59.0,Funded,Purchase
70000097,2023-02-11,2023-02-15,2023-03-28,353858,Il,Sfr,Primary,Refi Co,Retail,Va,6.064,740,72,36,30,Funded,116,,132,143,107,3786.28,22,1,0,1,1160,45.0,4,41.0,Excellent (740-799),71-80%,0,45.0,Funded,Refinance
70000098,2023-02-15,2023-02-15,2023-03-23,320083,Nc,Sfr,Investment,Refi Rt,Retail,Conventional,6.623,716,72,40,45,Funded,123,,130,152,99,3168.82,35,1,0,1,1156,36.0,0,36.0,Prime+ (700-739),71-80%,0,36.0,Funded,Refinance
70000099,2023-01-06,2023-01-09,,247482,Nc,Sfr,Primary,Purchase,Retail,Conventional,6.158,659,86,28,30,Denied,119,,135,149,113,2796.55,35,0,0,0,1196,,3,,Near Prime (620-659),81-90%,0,3.0,Withdrawn,Purchase
